,full_name,Current Club,nationality,minutes_played_overall,goals_overall,clean_sheets_overall
350,Niels Hahn,Austria Wien,Austria,16,0,0
351,Atsushi Zaizen,Wacker Innsbruck,Japan,0,0,0
352,Andres Andrade Cedeño,LASK Linz,Panama,0,0,0
353,Eric Schnürer,St. Pölten,Austria,0,0,0
354,Nikola Despotovic,St. Pölten,Austria,0,0,0
355,Manuel Salaba,Mattersburg,Austria,0,0,0
356,Sterling Yateke,Austria Wien,Central African Republic,70,0,0
357,Leo Greiml,Rapid Wien,Austria,63,0,0
358,Thomas Pachernig,Wolfsberger AC,Austria,0,0,0
359,Paul-Friedrich Koller,Admira,Austria,0,0,0
360,David Nemeth,Mattersburg,Austria,90,0,0
361,Christoph Messerer,St. Pölten,Austria,0,0,0
362,Francisco Guillermo Ochoa Magaña,Standard Liège,Mexico,3600,0,11
363,Luis Pedro Cavanda,Standard Liège,Belgium,1652,1,4
364,Konstantinos Laifis,Standard Liège,Cyprus,3296,1,11
365,Ngoran Suiru Fai Collins,Standard Liège,Cameroon,2586,1,9
366,Christian Luyindama Nekadio,Standard Liège,Congo DR,1800,3,6
367,Paul-José M'Poku Ebunge,Standard Liège,Congo DR,2337,8,11
368,Răzvan Gabriel Marin,Standard Liège,Romania,3199,10,10
369,Uche Henry Agbo,Standard Liège,Nigeria,668,0,4
370,Samuel Bastien,Standard Liège,Belgium,1096,2,9
371,Moussa Djenepo,Standard Liège,Mali,2157,8,9
372,Renaud Emond,Standard Liège,Belgium,2650,13,8
373,Carlos Vinicius Santos de Jesus,Standard Liège,Brazil,35,0,1
374,Duje Čop,Standard Liège,Croatia,20,0,1
375,Zinho Vanheusden,Standard Liège,Belgium,1981,2,4
376,Miloš Kosanović,Standard Liège,Serbia,1410,1,5
377,Réginal Goreux,Standard Liège,Haiti,178,0,1
378,Jean-François Gillet,Standard Liège,Belgium,0,0,0
379,Sébastien Pocognoli,Standard Liège,Belgium,493,0,5
380,Senna Miangue,Standard Liège,Belgium,439,0,1
381,Colin Coosemans,KAA Gent,Belgium,180,0,0
382,Nana Kwesi Asare,KAA Gent,Ghana,3305,0,7
383,Igor Plastun,KAA Gent,Ukraine,1622,0,2
384,Sigurd Rosted,KAA Gent,Norway,2317,5,5
385,Thomas Foket,KAA Gent,Belgium,437,0,0
386,Vadis Odjidja-Ofoe,KAA Gent,Belgium,2154,4,5
387,Birger Verstraete,KAA Gent,Belgium,2458,5,6
388,Mamadou Jean-Luc Diarra Dompé,KAA Gent,France,1264,1,5
389,Giorgi Chakvetadze,KAA Gent,Georgia,1808,5,5
390,Yuya Kubo,KAA Gent,Japan,132,0,0
391,Roman Yaremchuk,KAA Gent,Ukraine,2753,8,6
392,Anderson Esiti,KAA Gent,Nigeria,1891,0,5
393,Taiwo Micheal Awoniyi,Royal Excel Mouscron,Nigeria,1268,7,6
394,Stallone Limbombe,KAA Gent,Belgium,1240,4,4
395,Yannick Thoelen,KAA Gent,Belgium,494,0,1
396,Franko Andrijašević,Waasland-Beveren,Croatia,1134,1,2
397,Thibault De Smet,KAA Gent,Belgium,293,1,0
398,Jonathan David,KAA Gent,Canada,1980,12,5
399,Samuel Kalu Ojim,KAA Gent,Nigeria,0,0,0
400,Thomas Kaminski,KAA Gent,Belgium,3330,0,8
401,Gary Christofer Kagelmacher Pérez,KV Kortrijk,Uruguay,2467,0,7
402,Brendan Hines Ike,KV Kortrijk,USA,1381,0,6
403,Rubenilson dos Santos da Rocha,KV Kortrijk,Brazil,599,1,4
404,Christophe Lepoint,KV Kortrijk,Belgium,1763,2,6
405,Kristof D'Haene,KV Kortrijk,Belgium,2610,1,8
406,Hannes Van der Bruggen,KV Kortrijk,Belgium,2131,0,8
407,Elohim Rolland,KV Kortrijk,France,1032,1,4
408,Idir Ouali,KV Kortrijk,France,1273,3,3
409,Teddy Chevalier,KV Kortrijk,France,1802,4,7
410,Ilombé Mboyo,KV Kortrijk,Belgium,1549,7,6
411,Abdul Ajagun,KV Kortrijk,Nigeria,406,0,3
412,Petar Golubović,KV Kortrijk,Serbia,518,0,1
413,Jovan Stojanović,KV Kortrijk,Serbia,1378,9,6
414,Medjon Hoxha,KV Kortrijk,Belgium,0,0,0
415,Sébastien Bruzzese,KV Kortrijk,Belgium,1080,0,3
416,Tyron Ivanof,KV Kortrijk,Belgium,0,0,0
